winner,loser,method
Shavkat Rakhmonov,Geoff Neal,Submission (rear-naked choke)
Mateusz Gamrot,Jalin Turner,"Decision (split) (29–28, 28–29, 30–27)"
Bo Nickal,Jamie Pickett,Submission (arm-triangle choke)
Cody Garbrandt,Trevin Jones,"Decision (unanimous) (29–28, 29–28, 29–28)"
Dricus du Plessis,Derek Brunson,TKO (corner stoppage)
Amanda Ribas,Viviane Araújo,"Decision (unanimous) (29–27, 30–26, 30–27)"
Marc-André Barriault,Julian Marquez,TKO (punches)
Ian Garry,Song Kenan,TKO (punches)
Cameron Saaiman,Leomana Martinez,"Decision (majority) (29–26, 28–27, 28–28)"
Tabatha Ricci,Jessica Penne,Submission (armbar)
Farid Basharat,Da’Mon Blackshear,"Decision (unanimous) (29–28, 29–28, 29–28)"
Loik Radzhabov,Esteban Ribovics,"Decision (unanimous) (29–28, 29–28, 29–28)"
Brendan Allen,André Muniz,Submission (rear-naked choke)
Augusto Sakai,Don'Tale Mayes,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tatiana Suarez,Montana De La Rosa,Submission (guillotine choke)
Mike Malott,Yohan Lainesse,Submission (arm-triangle choke)
Trevor Peek,Erick Gonzalez,KO (punches)
Jasmine Jasudavicius,Gabriella Fernandes,"Decision (unanimous) (30–26, 30–26, 30–26)"
Jordan Leavitt,Victor Martinez,TKO (knees and punches)
Ode' Osbourne,Charles Johnson,"Decision (split) (28-29, 29-28, 29-28)"
Joe Solecki,Carl Deaton III,Technical Submission (rear-naked choke)
Nurullo Aliev,Rafael Alves,"Decision (majority) (29–27, 29–27, 28–28)"
Erin Blanchfield,Jéssica Andrade,Submission (rear-naked choke)
Zac Pauga,Jordan Wright,"Decision (unanimous) (30–27, 30–27, 29–28)"
Jamal Pogues,Josh Parisian,"Decision (unanimous) (30–27, 30–27, 29–28)"
Marcin Prachnio,William Knight,"Decision (unanimous) (30–27, 30–27, 30–27)"
Alexander Hernandez,Jim Miller,"Decision (unanimous) (30–27, 30–27, 29–28)"
Nazim Sadykhov,Evan Elder,TKO (doctor stoppage)
Mayra Bueno Silva,Lina Länsberg,Submission (kneebar)
Jamall Emmers,Khusein Askhabov,"Decision (unanimous) (30–27, 30–27, 30–27)"
Philipe Lins,Ovince Saint Preux,KO (punches)
A.J. Fletcher,Themba Gorimbo,Submission (guillotine choke)
Clayton Carpenter,Juancamilo Ronderos,Submission (rear-naked choke)
Islam Makhachev(c),Alexander Volkanovski,"Decision (unanimous) (48–47, 48–47, 49–46)"
Yair Rodríguez,Josh Emmett,Submission (triangle choke)
Jack Della Maddalena,Randy Brown,Submission (rear-naked choke)
Justin Tafa,Parker Porter,KO (punch)
Jimmy Crute,Alonzo Menifield,"Draw (majority) (29–27, 28–28, 28–28)"
Modestas Bukauskas,Tyson Pedro,"Decision (unanimous) (30–27, 29–28, 29–28)"
Joshua Culibao,Melsik Baghdasaryan,Submission (rear-naked choke)
Kleydson Rodrigues,Shannon Ross,TKO (punches)
Jamie Mullarkey,Francisco Prado,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jack Jenkins,Don Shainis,"Decision (unanimous) (30–27, 30–27, 29–28)"
Loma Lookboonmee,Elise Reed,Submission (rear-naked choke)
Blake Bilder,Shane Young,"Decision (unanimous) (30–27, 30–27, 29–28)"
Elves Brener,Zubaira Tukhugov,"Decision (split) (29–28, 28–29, 30–27)"
Sergey Spivak,Derrick Lewis,Submission (arm-triangle choke)
Devin Clark,Jung Da-un,"Decision (unanimous) (30–27, 30–27, 30–27)"
Marcin Tybura,Blagoy Ivanov,"Decision (unanimous) (30–27, 29–28, 29–28)"
Choi Doo-ho,Kyle Nelson,"Draw (majority) (29–27, 28–28, 28–28)"
Adam Fugitt,Yusaku Kinoshita,TKO (elbows)
Anshul Jubli,Jeka Saragih,TKO (punches and elbows)
Lee Jeong-yeong,Yi Zha,"Decision (split) (27–30, 29–28, 29–28)"
Rinya Nakamura,Toshiomi Kazama,KO (punch)
Park Hyun-sung,Choi Seung-guk,Submission (rear-naked choke)
Park Jun-yong,Denis Tiuliulin,Technical submission (rear-naked choke)
Tatsuro Taira,Jesús Santos Aguilar,Submission (triangle armbar)
Jamahal Hill,Glover Teixeira,"Decision (unanimous) (50–44, 50–44, 50–44)"
Brandon Moreno(ic),Deiveson Figueiredo(c),TKO (doctor stoppage)
Gilbert Burns,Neil Magny,Submission (arm-triangle choke)
Jéssica Andrade,Lauren Murphy,"Decision (unanimous) (30–25, 30–25, 30–26)"
Johnny Walker,Paul Craig,TKO (punches)
Ihor Potieria,Maurício Rua,TKO (punches)
Brunno Ferreira,Gregory Rodrigues,KO (punch)
Thiago Moisés,Melquizael Costa,Submission (face crank)
Gabriel Bonfim,Mounir Lazzez,Submission (guillotine choke)
Jailton Almeida,Shamil Abdurakhimov,TKO (punches)
Cody Stamann,Luan Lacerda,"Decision (unanimous) (29–28, 29–28, 29–28)"
Ismael Bonfim,Terrance McKinney,KO (flying knee)
Nicolas Dalby,Warlley Alves,"Decision (split) (29–28, 28–29, 29–28)"
Josiane Nunes,Zarah Fairn dos Santos,"Decision (unanimous) (29–28, 29–28, 29–28)"
Daniel Marcos,Saimon Oliveira,KO (knee to the body and punches)
Sean Strickland,Nassourdine Imavov,"Decision (unanimous) (49–46, 49–46, 48–47)"
Dan Ige,Damon Jackson,KO (punch)
Roman Kopylov,Punahele Soriano,TKO (body kick and punches)
Raquel Pennington,Ketlen Vieira,"Decision (split) (29–28, 28–29, 29–28)"
Umar Nurmagomedov,Raoni Barcelos,KO (body kick and punch)
Javid Basharat,Mateus Mendonça,"Decision (unanimous) (30–27, 30–27, 29–28)"
Abdul Razak Alhassan,Claudio Ribeiro,KO (punches)
Mateusz Rębecki,Nick Fiore,"Decision (unanimous) (30–26, 30–27, 30–27)"
Allan Nascimento,Carlos Hernández,Submission (rear-naked choke)
Daniel Argueta,Nick Aguirre,"Decision (unanimous) (30–27, 30–27, 30–27)"
Charles Johnson,Jimmy Flick,TKO (elbows and punches)
Jared Cannonier,Sean Strickland,"Decision (split) (49–46, 46–49, 49–46)"
Arman Tsarukyan,Damir Ismagulov,"Decision (unanimous) (30–27, 30–27, 30–27)"
Amir Albazi,Alessandro Costa,KO (punches)
Alex Caceres,Julian Erosa,TKO (head kick and punches)
Drew Dober,Bobby Green,KO (punch)
Michał Oleksiejczuk,Cody Brundage,KO (punches)
Cory McKenna,Cheyanne Vlismas,"Decision (unanimous) (29–28, 29–28, 29–28)"
Matthew Semelsberger,Jake Matthews,"Decision (unanimous) (30–27, 29–28, 29–28)"
Said Nurmagomedov,Saidyokub Kakhramonov,Submission (ninja choke)
Rafa García,Hayisaer Maheshate,"Decision (unanimous) (30–27, 30–27, 30–27)"
Rinat Fakhretdinov,Bryan Battle,"Decision (unanimous) (30–25, 30–25, 30–27)"
Manel Kape,David Dvořák,"Decision (unanimous) (30–27, 30–27, 29–28)"
Sergey Morozov,Journey Newson,"Decision (unanimous) (30–27, 29–28, 29–28)"
Jan Błachowicz,Magomed Ankalaev,"Draw (split) (48–47, 46–48, 47–47)"
Paddy Pimblett,Jared Gordon,"Decision (unanimous) (29–28, 29–28, 29–28)"
Santiago Ponzinibbio,Alex Morono,KO (punches)
Dricus du Plessis,Darren Till,Submission (face crank)
Ilia Topuria,Bryce Mitchell,Submission (arm-triangle choke)
Raul Rosas Jr.,Jay Perrin,Submission (face crank)
Jairzinho Rozenstruik,Chris Daukaus,TKO (punches)
Edmen Shahbazyan,Dalcha Lungiambula,TKO (punches)
