winner,loser,method
Gilbert Burns,Stephen Thompson,"Decision (unanimous) (29–28, 29–28, 29–28)"
Tai Tuivasa,Greg Hardy,KO (punches)
Irene Aldana,Yana Kunitskaya,TKO (punches)
Sean O'Malley,Kris Moutinho,TKO (punches)
Max Griffin,Carlos Condit,"Decision (unanimous) (29–28, 29–28, 30–27)"
Michel Pereira,Niko Price,"Decision (unanimous) (29–28, 29–28, 29–28)"
Ilia Topuria,Ryan Hall,KO (punches)
Dricus du Plessis,Trevin Giles,KO (punches)
Jennifer Maia,Jessica Eye,"Decision (unanimous) (29–28, 29–28, 30–27)"
Brad Tavares,Omari Akhmedov,"Decision (split) (28–29, 29–28, 29–28)"
Zhalgas Zhumagulov,Jerome Rivera,Submission (guillotine choke)
Ciryl Gane,Alexander Volkov,"Decision (unanimous) (50–45, 50–45, 49–46)"
Tanner Boser,Ovince Saint Preux,KO (punches)
Timur Valiev,Raoni Barcelos,"Decision (majority) (28–28, 29–28, 29–28)"
Andre Fili,Daniel Pineda,No Contest (accidental eye poke)
Tim Means,Nicolas Dalby,"Decision (unanimous) (29–28, 29–28, 29–28)"
Renato Moicano,Jai Herbert,Submission (rear-naked choke)
Kennedy Nzechukwu,Danilo Marques,TKO (punches)
Shavkat Rakhmonov,Michel Prazeres,Submission (rear-naked choke)
Jeremiah Wells,Warlley Alves,KO (punches)
Marcin Prachnio,Ike Villanueva,TKO (body kick)
Julia Avila,Julija Stoliarenko,Submission (rear-naked choke)
Charles Rosa,Justin Jaynes,"Decision (split) (30–27, 28–29, 29–28)"
Damir Hadžović,Yancy Medeiros,"Decision (unanimous) (29–28, 29–28, 29–28)"
Chan Sung Jung,Dan Ige,"Decision (unanimous) (48–47, 49–46, 49–46)"
Sergey Spivak,Aleksei Oleinik,"Decision (unanimous) (29–28, 29–28, 29–28)"
Marlon Vera,Davey Grant,"Decision (unanimous) (29–27, 29–28, 30–26)"
Seung Woo Choi,Julian Erosa,TKO (punches)
Bruno Silva,Wellington Turman,KO (punches)
Matt Brown,Dhiego Lima,KO (punch)
Nicolae Negumereanu,Aleksa Camur,"Decision (split) (29–28, 28–29, 29–28)"
Virna Jandiroba,Kanako Murata,TKO (arm injury)
Khaos Williams,Matthew Semelsberger,"Decision (unanimous) (30–27, 29–28, 29–28)"
Josh Parisian,Roque Martinez,"Decision (split) (28–29, 29–28, 29–28)"
Ricky Glenn,Joaquim Silva,KO (punches)
Casey O'Neill,Lara Procópio,Technical Submission (rear-naked choke)
Israel Adesanya(c),Marvin Vettori,"Decision (unanimous) (50–45, 50–45, 50–45)"
Brandon Moreno,Deiveson Figueiredo(c),Submission (rear-naked choke)
Leon Edwards,Nate Diaz,"Decision (unanimous) (49–46, 49–46, 49–46)"
Belal Muhammad,Demian Maia,"Decision (unanimous) (30–27, 29–28, 29–28)"
Paul Craig,Jamahal Hill,TKO (elbows and punches)
Brad Riddell,Drew Dober,"Decision (unanimous) (29–28, 29–28, 29–28)"
Eryk Anders,Darren Stewart,"Decision (unanimous) (29–28, 29–27, 29–27)"
Lauren Murphy,Joanne Calderwood,"Decision (split) (29–28, 28–29, 29–28)"
Movsar Evloev,Hakeem Dawodu,"Decision (unanimous) (29–27, 29–27, 29–27)"
Pannie Kianzad,Alexis Davis,"Decision (unanimous) (30–27, 30–27, 29–28)"
Terrance McKinney,Matt Frevola,KO (punches)
Steven Peterson,Chase Hooper,"Decision (unanimous) (30–27, 30–27, 29–28)"
Farès Ziam,Luigi Vendramini,"Decision (majority) (29–28, 29–28, 28–28)"
Carlos Felipe,Jake Collier,"Decision (split) (28–29, 29–28, 29–28)"
Jairzinho Rozenstruik,Augusto Sakai,TKO (punches)
Marcin Tybura,Walt Harris,TKO (punches)
Roman Dolidze,Laureano Staropoli,"Decision (unanimous) (30–27, 30–27, 30–27)"
Santiago Ponzinibbio,Miguel Baeza,"Decision (unanimous) (29–28, 29–28, 29–28)"
Gregory Rodrigues,Duško Todorović,"Decision (unanimous) (30–27, 30–27, 29–28)"
Montana De La Rosa,Ariane Lipski,TKO (punches)
Ilir Latifi,Tanner Boser,"Decision (split) (29–28, 27–29, 29–28)"
Muslim Salikhov,Francisco Trinaldo,"Decision (unanimous) (30–27, 30–27, 30–27)"
Kamuela Kirk,Makwan Amirkhani,"Decision (unanimous) (30–27, 29–28, 29–28)"
Alan Patrick,Mason Jones,No Contest (accidental eye poke)
Manon Fiorot,Tabatha Ricci,TKO (punches)
Sean Woodson,Youssef Zalal,"Decision (split) (28–29, 29–28, 29–28)"
Claudio Puelles,Jordan Leavitt,"Decision (unanimous) (29–28, 29–28, 29–28)"
Rob Font,Cody Garbrandt,"Decision (unanimous) (48–47, 50–45, 50–45)"
Carla Esparza,Yan Xiaonan,TKO (punches)
Jared Vanderaa,Justin Tafa,"Decision (unanimous) (30–27, 30–27, 29–28)"
Norma Dumont,Felicia Spencer,"Decision (split) (30–27, 28–29, 29–28)"
Ricardo Ramos,Bill Algeo,"Decision (unanimous) (30–27, 30–27, 29–28)"
Jack Hermansson,Edmen Shahbazyan,"Decision (unanimous) (29–27, 29–27, 29–27)"
Ben Rothwell,Chris Barnett,Submission (guillotine choke)
Court McGee,Cláudio Silva,"Decision (unanimous) (30–26, 30–26, 29–27)"
Bruno Gustavo da Silva,Victor Rodriguez,KO (punches)
Joshua Culibao,Shayilan Nuerdanbieke,"Decision (unanimous) (29–28, 29–28, 29–28)"
David Dvořák,Juancamilo Ronderos,Submission (rear-naked choke)
Damir Ismagulov,Rafael Alves,"Decision (unanimous) (29–28, 29–28, 29–28)"
Charles Oliveira,Michael Chandler,TKO (punches)
Beneil Dariush,Tony Ferguson,"Decision (unanimous) (30–27, 30–27, 30–27)"
Rogério Bontorin,Matt Schnell,No Contest (overturned)
Katlyn Chookagian,Viviane Araújo,"Decision (unanimous) (29–28, 29–28, 30–27)"
Edson Barboza,Shane Burgos,KO (punches)
André Muniz,Ronaldo Souza,Technical Submission (armbar)
Lando Vannata,Mike Grundy,"Decision (split) (29–28, 27–30, 30–27)"
Jordan Wright,Jamie Pickett,TKO (punches)
Andrea Lee,Antonina Shevchenko,Submission (triangle armbar)
Priscila Cachoeira,Gina Mazany,TKO (punches)
Tucker Lutz,Kevin Aguilar,"Decision (unanimous) (30–27, 29–28, 29–28)"
Christos Giagos,Sean Soriano,Technical Submission (brabo choke)
Marina Rodriguez,Michelle Waterson,"Decision (unanimous) (48–47, 49–46, 49–46)"
Alex Morono,Donald Cerrone,TKO (punches)
Neil Magny,Geoff Neal,"Decision (unanimous) (29–28, 29–28, 30–27)"
Marcos Rogério de Lima,Maurice Greene,"Decision (unanimous) (30–26, 30–26, 30–27)"
Gregor Gillespie,Carlos Diego Ferreira,TKO (punches)
Phil Hawes,Kyle Daukaus,"Decision (unanimous) (30–26, 30–26, 29–27)"
Michael Trizano,Ľudovít Klein,"Decision (unanimous) (29–28, 29–28, 30–27)"
Jun Yong Park,Tafon Nchukwi,"Decision (majority) (30–25, 29–26, 28–28)"
Carlston Harris,Christian Aguilera,Technical Submission (anaconda choke)
Jiří Procházka,Dominick Reyes,KO (spinning back elbow)
Giga Chikadze,Cub Swanson,TKO (body kick and punches)
Ion Cuțelaba,Dustin Jacoby,"Draw (split) (28–29, 29–28, 28–28)"
Sean Strickland,Krzysztof Jotko,"Decision (unanimous) (30–27, 30–27, 29–28)"
Merab Dvalishvili,Cody Stamann,"Decision (unanimous) (30–27, 29–28, 29–28)"
Luana Pinheiro,Randa Markos,DQ (illegal upkick)
T.J. Brown,Kai Kamaka III,"Decision (split) (27–30, 29–28, 29–28)"
Luana Carolina,Poliana Botelho,"Decision (split) (29–28, 28–29, 29–28)"
Loma Lookboonmee,Sam Hughes,"Decision (unanimous) (29–28, 29–28, 29–28)"
Andreas Michailidis,KB Bhullar,"Decision (unanimous) (30–27, 30–27, 29–28)"
Felipe Colares,Luke Sanders,"Decision (unanimous) (29–28, 29–28, 29–28)"
Kamaru Usman(c),Jorge Masvidal,KO (punch)
Rose Namajunas,Zhang Weili(c),KO (head kick)
Valentina Shevchenko(c),Jéssica Andrade,TKO (elbows)
Uriah Hall,Chris Weidman,TKO (leg injury)
Anthony Smith,Jimmy Crute,TKO (doctor stoppage)
Randy Brown,Alex Oliveira,Submission (rear-naked choke)
Dwight Grant,Stefan Sekulić,"Decision (split) (28–29, 29–28, 29–28)"
Brendan Allen,Karl Roberson,Submission (ankle lock)
Pat Sabatini,Tristan Connelly,"Decision (unanimous) (30–27, 29–28, 29–28)"
Danaa Batgerel,Kevin Natividad,TKO (punches)
Kazula Vargas,Rong Zhu,"Decision (unanimous) (30–26, 29–28, 29–28)"
Jeff Molina,Aori Qileng,"Decision (unanimous) (29–28, 29–28, 29–27)"
Ariane Carnelossi,Na Liang,TKO (punches)
Robert Whittaker,Kelvin Gastelum,"Decision (unanimous) (50–45, 50–45, 50–45)"
Andrei Arlovski,Chase Sherman,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jacob Malkoun,Abdul Razak Alhassan,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tracy Cortez,Justine Kish,"Decision (split) (29–28, 28–29, 30–27)"
Luis Peña,Alexander Munoz,"Decision (split) (28–29, 29–28, 29–28)"
Alexander Romanov,Juan Espino,"Technical Decision (split) (29–28, 28–29, 29–28)"
Jessica Penne,Lupita Godinez,"Decision (split) (29–28, 28–29, 29–28)"
Gerald Meerschaert,Bartosz Fabiński,Technical Submission (guillotine choke)
Austin Hubbard,Dakota Bush,"Decision (unanimous) (29–28, 29–28, 29–28)"
Tony Gravely,Anthony Birchak,TKO (punch)
Marvin Vettori,Kevin Holland,"Decision (unanimous) (50–44, 50–44, 50–44)"
Arnold Allen,Sodiq Yusuff,"Decision (unanimous) (29–28, 29–28, 29–28)"
Julian Marquez,Sam Alvey,Technical Submission (rear-naked choke)
Mackenzie Dern,Nina Nunes,Submission (armbar)
Daniel Rodriguez,Mike Perry,"Decision (unanimous) (30–27, 30–27, 30–26)"
Joe Solecki,Jim Miller,"Decision (unanimous) (29–28, 29–28, 30–27)"
Mateusz Gamrot,Scott Holtzman,KO (punches)
John Makdessi,Ignacio Bahamondes,"Decision (split) (28–29, 29–28, 30–27)"
Jarjis Danho,Yorgan de Castro,KO (punch)
Jack Shore,Hunter Azure,"Decision (split) (30–27, 28–29, 30–27)"
Luis Saldaña,Jordan Griffin,"Decision (unanimous) (29–28, 29–28, 29–28)"
Da Un Jung,William Knight,"Decision (unanimous) (30–26, 30–26, 30–27)"
Impa Kasanganay,Sasha Palatnikov,Submission (rear-naked choke)
Francis Ngannou,Stipe Miocic(c),KO (punch)
Vicente Luque,Tyron Woodley,Submission (brabo choke)
Sean O'Malley,Thomas Almeida,KO (punches)
Miranda Maverick,Gillian Robertson,"Decision (unanimous) (30–27, 30–27, 29–28)"
Jamie Mullarkey,Khama Worthy,KO (punches)
Alonzo Menifield,Fabio Cherant,Submission (shoulder choke)
Abubakar Nurmagomedov,Jared Gooden,"Decision (unanimous) (30–27, 30–27, 30–27)"
Michał Oleksiejczuk,Modestas Bukauskas,"Decision (split) (29–28, 28–29, 29–28)"
Omar Morales,Shane Young,"Decision (unanimous) (30–27, 30–27, 30–27)"
Marc-André Barriault,Abu Azaitar,TKO (punches)
Derek Brunson,Kevin Holland,"Decision (unanimous) (49–45, 49–46, 49–46)"
Max Griffin,Song Kenan,KO (punches)
Montserrat Ruiz,Cheyanne Vlismas,"Decision (unanimous) (29–28, 29–28, 29–27)"
Adrian Yanez,Gustavo Lopez,KO (punch)
Tai Tuivasa,Harry Hunsucker,TKO (punches)
Macy Chiasson,Marion Reneau,"Decision (unanimous) (29–28, 29–28, 29–28)"
Grant Dawson,Leonardo Santos,KO (punches)
Trevin Giles,Roman Dolidze,"Decision (unanimous) (29–28, 29–28, 29–28)"
Montel Jackson,Jesse Strader,TKO (punches)
Bruno Gustavo da Silva,JP Buys,TKO (punches)
Leon Edwards,Belal Muhammad,No Contest (accidental eye poke)
Ryan Spann,Misha Cirkunov,TKO (punches)
Dan Ige,Gavin Tucker,KO (punch)
Davey Grant,Jonathan Martinez,KO (punch)
Matheus Nicolau,Manel Kape,"Decision (split) (28–29, 29–28, 29–28)"
Eryk Anders,Darren Stewart,No Contest (illegal knee)
Angela Hill,Ashley Yoder,"Decision (unanimous) (30–27, 30–27, 30–27)"
Charles Jourdain,Marcelo Rojo,TKO (punches)
Rani Yahya,Ray Rodriguez,Submission (arm-triangle choke)
Nasrat Haqparast,Rafa García,"Decision (unanimous) (30–27, 29–28, 29–28)"
JJ Aldrich,Cortney Casey,"Decision (split) (28–29, 29–28, 29–28)"
Jinh Yu Frey,Gloria de Paula,"Decision (unanimous) (29–28, 29–28, 29–28)"
Matthew Semelsberger,Jason Witt,KO (punch)
Jan Błachowicz(c),Israel Adesanya,"Decision (unanimous) (49–46, 49–45, 49–45)"
Amanda Nunes(c),Megan Anderson,Submission (triangle armbar)
Aljamain Sterling,Petr Yan(c),DQ (illegal knee)
Islam Makhachev,Drew Dober,Submission (arm-triangle choke)
Aleksandar Rakić,Thiago Santos,"Decision (unanimous) (29–28, 29–28, 30–27)"
Dominick Cruz,Casey Kenney,"Decision (split) (28–29, 29–28, 30–27)"
Kyler Phillips,Song Yadong,"Decision (unanimous) (29–28, 29–28, 29–28)"
Askar Askarov,Joseph Benavidez,"Decision (unanimous) (30–27, 30–27, 30–26)"
Kai Kara-France,Rogério Bontorin,KO (punches)
Tim Elliott,Jordan Espinosa,"Decision (unanimous) (30–27, 30–27, 30–25)"
Kennedy Nzechukwu,Carlos Ulberg,KO (punches)
Sean Brady,Jake Matthews,Submission (arm-triangle choke)
Amanda Lemos,Lívia Renata Souza,TKO (punches)
Uroš Medić,Aalon Cruz,TKO (punches)
Trevin Jones,Mario Bautista,TKO (punches)
Ciryl Gane,Jairzinho Rozenstruik,"Decision (unanimous) (50–45, 50–45, 50–45)"
Magomed Ankalaev,Nikita Krylov,"Decision (unanimous) (29–28, 29–28, 29–28)"
Mayra Bueno Silva,Montana De La Rosa,"Draw (majority) (28–27, 28–28, 28–28)"
Pedro Munhoz,Jimmie Rivera,"Decision (unanimous) (30–27, 30–27, 29–28)"
Alex Caceres,Kevin Croom,"Decision (unanimous) (30–26, 30–26, 30–27)"
Thiago Moisés,Alexander Hernandez,"Decision (unanimous) (30–27, 30–27, 29–28)"
Alexis Davis,Sabina Mazo,"Decision (unanimous) (30–27, 30–27, 30–26)"
Ronnie Lawrence,Vince Cachero,TKO (punches)
Dustin Jacoby,Maxim Grishin,"Decision (unanimous) (29–28, 29–28, 29–28)"
Derrick Lewis,Curtis Blaydes,KO (punch)
Yana Kunitskaya,Ketlen Vieira,"Decision (unanimous) (29–28, 29–28, 29–28)"
Darrick Minner,Charles Rosa,"Decision (unanimous) (30–26, 30–27, 29–27)"
Chris Daukaus,Aleksei Oleinik,TKO (punches)
Phil Hawes,Nassourdine Imavov,"Decision (majority) (28–28, 29–28, 29–28)"
Tom Aspinall,Andrei Arlovski,Submission (rear-naked choke)
Jared Gordon,Danny Chavez,"Decision (unanimous) (30–27, 30–27, 29–28)"
John Castañeda,Eddie Wineland,TKO (punches)
Julian Erosa,Nate Landwehr,TKO (flying knee)
Casey O'Neill,Shana Dobson,TKO (punches)
Aiemann Zahabi,Drako Rodriguez,KO (punch)
Sergey Spivak,Jared Vanderaa,TKO (punches)
Kamaru Usman(c),Gilbert Burns,TKO (punches)
Alexa Grasso,Maycee Barber,"Decision (unanimous) (29–28, 29–28, 29–28)"
Kelvin Gastelum,Ian Heinisch,"Decision (unanimous) (30–27, 29–28, 29–28)"
Ricky Simón,Brian Kelleher,"Decision (unanimous) (30–27, 30–27, 30–27)"
Julian Marquez,Maki Pitolo,Submission (anaconda choke)
Anthony Hernandez,Rodolfo Vieira,Submission (guillotine choke)
Belal Muhammad,Dhiego Lima,"Decision (unanimous) (30–27, 30–27, 30–27)"
Polyana Viana,Mallory Martin,Submission (armbar)
Chris Gutiérrez,Andre Ewell,"Decision (unanimous) (30–26, 29–28, 29–27)"
Gabriel Green,Philip Rowe,"Decision (unanimous) (30–27, 29–28, 29–28)"
Alexander Volkov,Alistair Overeem,TKO (punches)
Cory Sandhagen,Frankie Edgar,KO (flying knee)
Clay Guida,Michael Johnson,"Decision (unanimous) (30–27, 30–27, 30–27)"
Alexandre Pantoja,Manel Kape,"Decision (unanimous) (29–28, 29–28, 30–27)"
Beneil Dariush,Carlos Diego Ferreira,"Decision (split) (28–29, 29–28, 29–28)"
Danilo Marques,Mike Rodríguez,Technical Submission (rear-naked choke)
Devonte Smith,Justin Jaynes,TKO (doctor stoppage)
Karol Rosa,Joselyne Edwards,"Decision (unanimous) (30–27, 30–27, 30–27)"
Lara Procópio,Molly McCann,"Decision (unanimous) (29–27, 29–28, 30–27)"
Seung Woo Choi,Youssef Zalal,"Decision (unanimous) (29–28, 29–28, 30–27)"
Timur Valiev,Martin Day,"Decision (unanimous) (30–25, 30–25, 30–26)"
Ode' Osbourne,Jerome Rivera,KO (punches)
Dustin Poirier,Conor McGregor,TKO (punches)
Michael Chandler,Dan Hooker,TKO (punches)
Joanne Calderwood,Jessica Eye,"Decision (unanimous) (30–27, 30–27, 29–28)"
Makhmud Muradov,Andrew Sanchez,TKO (flying knee and punches)
Marina Rodriguez,Amanda Ribas,TKO (elbow and punches)
Arman Tsarukyan,Matt Frevola,"Decision (unanimous) (30–27, 30–27, 30–26)"
Brad Tavares,Antônio Carlos Júnior,"Decision (unanimous) (30–27, 30–27, 29–28)"
Julianna Peña,Sara McMann,Submission (rear-naked choke)
Marcin Prachnio,Khalil Rountree Jr.,"Decision (unanimous) (29–28, 29–28, 29–28)"
Movsar Evloev,Nik Lentz,"Decision (split) (28–29, 29–28, 29–28)"
Amir Albazi,Zhalgas Zhumagulov,"Decision (unanimous) (29–28, 29–28, 29–28)"
Michael Chiesa,Neil Magny,"Decision (unanimous) (49–46, 49–46, 49–46)"
Warlley Alves,Mounir Lazzez,TKO (body kicks and punches)
Ike Villanueva,Vinicius Moreira,KO (punch)
Viviane Araújo,Roxanne Modafferi,"Decision (unanimous) (30–27, 30–27, 30–26)"
Matt Schnell,Tyson Nam,"Decision (split) (29–28, 28–29, 29–28)"
Lerone Murphy,Douglas Silva de Andrade,"Decision (unanimous) (29–28, 29–28, 30–27)"
Omari Akhmedov,Tom Breese,Submission (arm-triangle choke)
Ricky Simón,Gaetano Pirrello,Submission (arm-triangle choke)
Su Mudaerji,Zarrukh Adashev,"Decision (unanimous) (29–28, 29–28, 30–27)"
Dalcha Lungiambula,Markus Perez,"Decision (unanimous) (29–28, 29–28, 29–28)"
Francisco Figueiredo,Jerome Rivera,"Decision (unanimous) (29–28, 29–28, 29–28)"
Mike Davis,Mason Jones,"Decision (unanimous) (29–28, 29–28, 29–28)"
Umar Nurmagomedov,Sergey Morozov,Technical Submission (rear-naked choke)
Manon Fiorot,Victoria Leonardo,TKO (head kick and punches)
Max Holloway,Calvin Kattar,"Decision (unanimous) (50–43, 50–43, 50–42)"
Carlos Condit,Matt Brown,"Decision (unanimous) (30–27, 30–27, 30–27)"
Li Jingliang,Santiago Ponzinibbio,KO (punch)
Alessio Di Chirico,Joaquin Buckley,KO (head kick)
Punahele Soriano,Duško Todorović,TKO (punches)
Joselyne Edwards,Wu Yanan,"Decision (unanimous) (30–27, 30–27, 29–28)"
Carlos Felipe,Justin Tafa,"Decision (split) (29–28, 28–29, 29–28)"
Ramazan Emeev,David Zawada,"Decision (split) (29–28, 28–29, 29–28)"
Vanessa Melo,Sarah Moras,"Decision (unanimous) (30–27, 29–28, 29–28)"
Austin Lingo,Jacob Kilburn,"Decision (unanimous) (30–26, 30–26, 30–27)"
Stephen Thompson,Geoff Neal,"Decision (unanimous) (50–45, 50–45, 50–45)"
José Aldo,Marlon Vera,"Decision (unanimous) (29–28, 29–28, 29–28)"
Michel Pereira,Khaos Williams,"Decision (unanimous) (29–28, 29–28, 29–28)"
Rob Font,Marlon Moraes,TKO (punches)
Marcin Tybura,Greg Hardy,TKO (punches)
Anthony Pettis,Alex Morono,"Decision (unanimous) (29–28, 29–28, 29–28)"
Pannie Kianzad,Sijara Eubanks,"Decision (unanimous) (29–28, 29–28, 29–28)"
Deron Winn,Antônio Arroyo,"Decision (unanimous) (29–28, 29–28, 29–28)"
Taila Santos,Gillian Robertson,"Decision (unanimous) (30–26, 30–26, 29–28)"
Tafon Nchukwi,Jamie Pickett,"Decision (unanimous) (30–25, 30–26, 30–26)"
Jimmy Flick,Cody Durden,Submission (flying triangle choke)
Christos Giagos,Carlton Minus,"Decision (unanimous) (30–26, 29–27, 29–28)"
Deiveson Figueiredo(c),Brandon Moreno,"Draw (majority) (48–46, 47–47, 47–47)"
Charles Oliveira,Tony Ferguson,"Decision (unanimous) (30–26, 30–26, 30–26)"
Mackenzie Dern,Virna Jandiroba,"Decision (unanimous) (29–28, 29–28, 29–28)"
Kevin Holland,Ronaldo Souza,KO (punches)
Ciryl Gane,Junior dos Santos,TKO (elbow)
Cub Swanson,Daniel Pineda,KO (punches)
Rafael Fiziev,Renato Moicano,KO (punches)
Gavin Tucker,Billy Quarantillo,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tecia Torres,Sam Hughes,TKO (doctor stoppage)
Chase Hooper,Peter Barrett,Submission (heel hook)
Marvin Vettori,Jack Hermansson,"Decision (unanimous) (49–46, 49–46, 49–45)"
Jamahal Hill,Ovince Saint Preux,TKO (punches)
Gabriel Benítez,Justin Jaynes,TKO (knee to the body and elbows)
Roman Dolidze,John Allan,"Decision (split) (28–29, 30–27, 29–28)"
Jordan Leavitt,Matt Wiman,KO (slam)
Louis Smolka,José Alberto Quiñónez,TKO (punches)
